HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Ensembl ID(supplied by Ensembl)
HGNC:5	A1BG	alpha-1-B glycoprotein			ENSG00000121410
HGNC:24086	A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF	ENSG00000148584
HGNC:7	A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5	ENSG00000175899
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179, p170	ENSG00000166535
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S, IGB3S	ENSG00000184389
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	P1	A14GALT, Gb3S, P(k)	ENSG00000128274
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT	ENSG00000118017
HGNC:13666	AAAS	aladin WD repeat nucleoporin			ENSG00000094914
HGNC:21298	AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1	ENSG00000081760
HGNC:17	AADAC	arylacetamide deacetylase		DAC, CES5A1	ENSG00000114771
HGNC:24427	AADACL2	arylacetamide deacetylase like 2		MGC72001	ENSG00000197953
HGNC:32037	AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887	ENSG00000188984
HGNC:32038	AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889	ENSG00000204518
HGNC:17929	AADAT	aminoadipate aminotransferase		KATII, KAT2, KYAT2	ENSG00000109576
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21		ENSG00000158122
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein		FLJ11506, p34	ENSG00000103591
HGNC:19679	AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132	ENSG00000115977
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067	ENSG00000087884
HGNC:18	AAMP	angio associated migratory cell protein			ENSG00000127837
HGNC:19	AANAT	aralkylamine N-acetyltransferase		SNAT	ENSG00000129673
HGNC:15886	AAR2	AAR2 splicing factor homolog	C20orf4	bA234K24.2	ENSG00000131043
HGNC:33842	AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	ENSG00000205002
HGNC:20	AARS	alanyl-tRNA synthetase		CMT2N, AlaRS	ENSG00000090861
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1	ENSG00000124608
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744	ENSG00000266967
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4	ENSG00000157426
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT, ACPS	ENSG00000149313
HGNC:17366	AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH	ENSG00000008311
HGNC:19235	AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2	ENSG00000275700
HGNC:21	AATK	apoptosis associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	ENSG00000181409
HGNC:23	ABAT	4-aminobutyrate aminotransferase		GABAT	ENSG00000183044
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	TGD	ENSG00000165029
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	ABC2		ENSG00000107331
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C, EST111653, LBM180	ENSG00000167972
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	ENSG00000198691
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5		EST90625	ENSG00000154265
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6		EST155051	ENSG00000154262
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7		ABCX	ENSG00000064687
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8		KIAA0822	ENSG00000141338
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9		EST640918	ENSG00000154258
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10		EST698739	ENSG00000154263
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232, LI2	ENSG00000144452
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13		FLJ33876, FLJ33951	ENSG00000179869
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	ENSG00000085563
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1	ENSG00000005471
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5		EST422562, ABCB5beta, ABCB5alpha	ENSG00000004846
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		EST45597, umat, MTABC3	ENSG00000115657
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535, Atm1p, ASAT	ENSG00000131269
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8		EST328128, M-ABC1, MABC1	ENSG00000197150
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9		EST122234	ENSG00000150967
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10		EST20237, M-ABC2, MTABC2	ENSG00000135776
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	ENSG00000073734
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	MRP, MRP1	GS-X	ENSG00000103222
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS, MRP2, cMRP	ENSG00000023839
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	ENSG00000108846
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4		MRP4, EST170205, MOAT-B, MOATB	ENSG00000125257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5		MRP5, SMRP, EST277145, MOAT-C	ENSG00000114770
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7	ENSG00000091262
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	ENSG00000006071
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9		SUR2, CMD1O	ENSG00000069431
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10		EST182763, MRP7, SIMRP7	ENSG00000124574
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11		MRP8	ENSG00000121270
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12		MRP9	ENSG00000140798
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN, ALDP, adrenoleukodystrophy	ENSG00000101986
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR, ALDRP	ENSG00000173208
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70, ZWS2	ENSG00000117528
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69, P70R, EST352188	ENSG00000119688
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	ENSG00000164163
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147	ENSG00000204574
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2		EST133090, ABC28, M-ABC1, HUSSY-18	
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3		EST201864	ENSG00000161204
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1		ABC8	ENSG00000160179
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		EST157481, MXR, BCRP, ABCP, CD338	ENSG00000118777
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4		WHITE2	ENSG00000172350
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5		STSL	ENSG00000138075
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8		GBD4	ENSG00000143921
HGNC:17553	ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128	ENSG00000143994
HGNC:18717	ABHD2	abhydrolase domain containing 2		LABH2	ENSG00000140526
HGNC:18718	ABHD3	abhydrolase domain containing 3		LABH3	ENSG00000158201
